Monitoring Stations,Month,Year,pH (units),Ammonia (mg/L),Nitrate (mg/L),Inorganic Phosphate (mg/L),BOD (mg/l),Dissolved Oxygen (mg/l),Total coliforms (MPN/100ml),Phytoplankton (cells/ml),Wind,Condition,Day,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precip.,Date
Stn. I (Central West Bay),1,2013,8.137999999999998,0.057475,0.2806020000000003,0.10951000000000002,1.0,6.8,194.0,5552.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn II (East Bay),1,2013,8.206000000000001,0.08762999999999994,0.3564560000000004,0.10653,1.0,7.8,320.0,17142.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn. IV (Central Bay),1,2013,8.122,0.065605,0.29423200000000027,0.09869000000000003,2.0,7.4,281.0,5222.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn V (Northern West Bay),1,2013,8.159000000000002,0.06300499999999999,0.2405720000000001,0.07748999999999995,1.0,7.0,219.0,4294.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn VIII (South Bay),1,2013,8.509999999999998,0.05682000000000003,0.43277200000000027,0.1067,1.0,7.8,208.0,20885.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn XV (San Pedro),1,2013,8.158,0.057124999999999974,0.29182200000000036,0.09608000000000003,1.0,7.5,926.0,5733.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn.XVI (Sta Rosa),1,2013,8.308000000000003,0.09432999999999993,0.3634560000000003,0.11333,2.0,7.5,550.0,18190.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn XVII (Sanctuary),1,2013,8.315000000000003,0.08475999999999996,0.35768400000000034,0.10505,2.0,7.6,149.0,16268.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn XVIII (Pagsanjan),1,2013,8.543,0.05357000000000001,0.45932200000000045,0.07623000000000008,2.0,8.0,296.0,24189.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn. I (Central West Bay),2,2013,8.264000000000001,0.06001999999999994,0.2863000000000001,0.06696000000000002,2.0,8.0,112.0,8422.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
